,Crude marriage rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Marriages per 1000 people, 1960-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marriages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,Note,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,,7.7,7.7,8.0,8.3,8.3,8.4,8.6,8.9,9.0,9.1,9.2,9.3,9.7,10.0,9.8,9.7,9.4,9.1,8.8,8.2,7.6,7.5,7.5,7.8,7.9,7.8,7.9,8.1,7.9,7.8,8.8,7.0,7.2,6.4,5.7,5.3,5.2,5.6,5.3,5.2,5.4,5.1,5.2,4.8,5.0,5.1,5.2,5.5,5.1,4.6,4.5,4.3,4.3,4.1,4.3,4.6,4.8,5.0,5.1,5.1,4.2,,,,,"46,746","45,137","45,206","43,499","45,575","48,191","50,768","52,567","54,470","54,870","45,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,,7.8,7.9,8.1,8.2,8.4,8.8,8.6,8.5,8.1,8.0,7.4,6.6,6.2,6.1,6.6,6.3,6.1,6.3,5.6,5.4,5.2,5.0,4.8,5.3,5.6,5.7,6.0,6.1,6.3,6.0,6.1,6.0,6.2,6.1,6.8,6.6,6.8,6.5,6.5,6.7,7.2,6.8,6.9,6.5,7.0,6.7,6.7,6.7,6.8,6.0,5.6,4.9,5.1,4.9,5.0,5.1,5.4,5.5,5.6,5.3,4.9,,,,,"30,949","27,198","28,503","27,503","28,331","28,853","30,767","31,777","32,525","30,635","28,538","27,645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,,10.0,9.7,8.9,8.7,8.5,8.2,8.6,8.8,8.9,9.1,9.1,9.1,8.5,8.7,8.7,8.7,8.6,8.7,8.6,8.7,8.8,8.6,8.2,8.6,8.3,8.4,8.4,8.7,8.3,8.1,7.5,6.6,5.8,5.2,5.0,4.9,3.9,4.0,3.9,4.0,3.9,4.1,4.2,4.2,4.4,4.5,5.2,5.2,4.6,4.0,3.8,4.1,4.5,4.3,4.7,5.2,4.8,4.9,5.0,5.1,4.6,,,,,"5,066","5,499","5,888","5,630","6,220","6,815","6,360","6,447","6,573","6,701","6,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,,7.4,7.7,7.6,7.4,7.6,7.9,8.4,9.0,8.7,8.8,8.8,8.2,7.6,7.5,7.4,6.7,6.8,6.5,6.3,6.1,6.1,6.3,6.3,6.1,5.8,5.3,5.2,5.3,5.2,4.9,5.0,4.9,4.7,4.9,4.9,4.6,..,4.6,4.7,4.7,5.1,4.8,5.2,5.0,5.6,5.6,5.4,5.6,5.8,5.6,5.6,5.3,5.3,4.6,4.5,4.5,4.5,4.8,4.3,4.0,4.0,,,,,"29,952","28,408","28,878","25,119","24,462","24,708","24,464","26,542","23,799","22,296","22,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,France,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.4,4.4,4.8,4.9,4.6,4.9,5.0,4.8,4.6,4.6,4.5,4.5,4.3,4.3,4.1,3.9,3.9,3.6,3.7,3.6,3.6,3.6,3.5,3.5,3.5,3.3,2.2,,,,,"251,713","236,975","241,000","238,720","241,425","236,432","232,865","234,013","234,843","224,740","148,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,,9.5,9.5,9.4,8.8,8.5,8.2,7.9,7.8,7.3,7.3,7.4,7.2,7.0,6.7,6.5,6.7,6.5,6.5,6.0,6.2,6.3,6.2,6.2,6.3,6.4,6.4,6.6,6.7,6.8,6.7,6.5,5.7,5.6,5.5,5.4,5.3,5.2,5.2,5.1,5.2,5.1,4.7,4.6,4.6,4.8,4.7,4.5,4.5,4.6,4.6,4.7,4.6,4.8,4.6,4.8,4.9,5.0,4.9,5.4,5.0,4.5,,,,,"382,047","377,816","387,423","373,655","385,952","400,115","410,426","407,466","449,466","416,324","373,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,,7.0,8.4,8.4,9.2,8.9,9.4,8.3,9.4,7.5,8.3,7.7,8.3,6.8,8.3,7.6,8.5,6.9,8.2,7.7,8.3,6.5,7.3,6.9,7.2,5.5,6.4,5.8,6.6,4.8,6.1,5.8,6.4,4.7,5.9,5.4,6.1,4.3,5.6,5.1,5.6,4.5,5.3,5.3,5.5,4.6,5.5,5.2,5.5,4.8,5.3,5.1,5.0,4.5,4.7,4.9,5.0,4.6,4.7,4.4,4.4,2.9,,,,,"56,338","55,099","49,710","51,256","53,105","53,672","49,632","50,138","47,428","47,137","31,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,,8.9,8.3,8.1,8.4,8.7,8.8,9.2,9.4,9.3,9.3,9.3,9.1,9.4,9.7,9.5,9.8,9.5,9.1,8.7,8.1,7.5,7.2,7.1,7.1,7.0,6.9,6.8,6.2,6.2,6.4,6.4,5.9,5.5,5.2,5.2,5.2,4.7,4.6,4.4,4.4,4.7,4.3,4.5,4.5,4.3,4.4,4.4,4.1,4.0,3.7,3.6,3.6,3.6,3.7,3.9,4.7,5.3,5.2,5.2,6.7,6.9,,,,,"35,520","35,812","36,161","36,986","38,780","46,137","51,805","50,572","50,828","65,268","67,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,,7.5,7.5,7.4,7.8,8.3,8.1,7.9,8.6,8.4,8.5,7.8,7.9,8.1,8.3,8.8,7.7,7.5,7.1,7.1,6.4,5.7,5.9,5.6,5.9,5.9,5.2,5.1,4.7,5.2,4.7,4.5,4.8,4.8,4.6,4.9,4.6,5.0,5.5,5.6,5.6,6.3,5.2,5.6,5.1,5.0,5.4,5.5,5.5,5.2,4.6,4.9,4.6,4.6,4.4,4.1,4.6,4.9,5.8,6.0,5.8,5.0,,,,,"1,547","1,458","1,491","1,438","1,338","1,519","1,630","2,006","2,104","2,082","1,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,Ireland,,5.5,5.4,5.5,5.5,5.6,5.9,5.8,6.1,6.5,6.9,7.0,7.4,7.3,7.4,7.3,6.7,6.4,6.1,6.4,6.2,6.4,6.0,5.8,5.5,5.2,5.3,5.2,5.2,5.2,5.2,5.1,4.9,4.7,4.7,4.6,4.3,4.4,4.3,4.5,4.9,5.0,5.0,5.2,5.1,5.2,5.1,5.2,5.2,4.9,4.8,4.5,4.3,4.5,4.5,4.7,4.7,4.8,4.6,4.3,4.1,1.9,,,,,"20,594","19,855","20,713","20,680","22,045","22,116","22,626","22,021","21,053","20,313","9,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
