Entity,Year,Birth rate - Sex: all - Age: all - Variant: estimates,GDP per capita,Urban population (% of total population),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Physicians (per 1,000 people)",Human Development Index
Turkey,1967,42.148,3929.0,35.759,,0.4,
Turkey,1968,41.505,4122.0,36.577,,0.4,
Turkey,1969,41.013,4267.0,37.401,,0.4,
Turkey,1970,40.565,4398.0,38.234,,,
Turkey,1971,40.118,4715.0,38.945,,,
Turkey,1972,39.288,4929.0,39.6,,,
Turkey,1973,38.376,5050.0,40.258,,,
Turkey,1974,37.276,5353.0,40.92,,,
Turkey,1975,36.238,5719.0,41.586,,,
Turkey,1976,35.319,6110.0,42.087,,,
Turkey,1977,34.693,6271.0,42.508,,,
Turkey,1978,34.487,6350.0,42.931,,,
Turkey,1979,34.19,6204.0,43.355,,,
Turkey,1980,33.671,6070.0,43.78,,,
Turkey,1981,33.101,6201.0,45.189,,,
Turkey,1982,32.045,6381.0,46.997,,,
Turkey,1983,31.231,6489.0,48.812,,,
Turkey,1984,30.425,6736.0,50.634,,,
Turkey,1985,29.689,6958.0,52.448,,,
Turkey,1986,29.036,7323.0,53.93,,,
Turkey,1987,28.287,7838.0,55.261,,,
Turkey,1988,27.673,8019.0,56.587,,,
Turkey,1989,26.938,7992.0,57.899,,,
Turkey,1990,25.453,8606.0,59.203,,0.932,0.598
Turkey,1991,24.89,8658.379,59.976,34.005,0.985,0.602
Turkey,1992,24.439,9150.435,60.518,32.601,1.012,0.608
Turkey,1993,24.443,9865.301,61.055,26.657,1.066,0.615
Turkey,1994,24.267,9308.695,61.59,31.153,1.129,0.616
Turkey,1995,24.108,9962.536,62.123,30.809,1.144,0.623
Turkey,1996,23.743,10644.634,62.653,30.463,1.146,0.63
Turkey,1997,23.543,11432.437,63.179,28.718,1.168,0.638
Turkey,1998,23.264,11772.83,63.703,29.179,1.206,0.648
Turkey,1999,22.646,11151.674,64.223,29.911,1.261,0.652
Turkey,2000,21.42,11904.008,64.741,26.489,1.33,0.669
Turkey,2001,20.593,10950.992,65.34,27.073,1.38,0.675
Turkey,2002,19.531,11753.953,65.974,27.857,1.393,0.685
Turkey,2003,18.949,12380.207,66.602,26.527,1.413,0.691
Turkey,2004,18.857,13423.795,67.225,23.112,1.433,0.696
Turkey,2005,18.794,14487.758,67.84,23.081,1.468,0.701
Turkey,2006,18.686,15425.188,68.45,22.877,1.501,0.711
Turkey,2007,18.481,16090.835,69.053,22.955,1.538,0.718
Turkey,2008,18.162,16182.732,69.651,23.839,1.587,0.721
Turkey,2009,17.844,15188.421,70.241,25.344,1.643,0.728
Turkey,2010,17.195,16528.12,70.825,26.938,1.687,0.75
Turkey,2011,16.833,17919.0,71.402,28.24,1.699,0.763
Turkey,2012,17.187,18539.223,71.974,28.903,1.724,0.772
Turkey,2013,17.049,19855.717,72.531,30.171,1.747,0.802
Turkey,2014,17.547,20557.4,73.077,30.135,1.736,0.812
Turkey,2015,17.362,21519.33,73.611,31.301,1.774,0.821
Turkey,2016,17.155,21937.162,74.134,32.318,1.788,0.826
Turkey,2017,16.76,23278.996,74.644,33.456,1.827,0.833
Turkey,2018,16.138,23650.49,75.143,34.037,1.849,0.838
Turkey,2019,15.095,23497.504,75.63,34.215,1.926,0.842
Turkey,2020,13.88,23721.88,76.105,30.767,2.036,0.835
Turkey,2021,13.185,26175.93,76.569,32.762,,0.841
Turkey,2022,12.394,27361.988,77.022,35.049,,0.855
Turkey,2023,12.284,,,,,
United Kingdom,1950,16.307,11061.0,,,,
United Kingdom,1951,15.821,11354.0,,,,
United Kingdom,1952,15.685,11303.0,,,,
United Kingdom,1953,15.665,11709.0,,,,
United Kingdom,1954,15.522,12145.0,,,,
United Kingdom,1955,15.503,12541.0,,,,
United Kingdom,1956,15.917,12639.0,,,,
United Kingdom,1957,16.336,12779.0,,,,
United Kingdom,1958,16.627,12698.0,,,,
United Kingdom,1959,16.834,13134.0,,,,
United Kingdom,1960,17.332,13780.0,78.444,,0.8,
United Kingdom,1961,17.767,14118.0,78.374,,0.9,
United Kingdom,1962,18.186,14131.0,78.237,,0.9,
United Kingdom,1963,18.443,14583.0,78.099,,0.9,
United Kingdom,1964,18.505,15251.0,77.96,,0.9,
United Kingdom,1965,18.187,15545.0,77.821,,0.9,
United Kingdom,1966,17.798,15757.0,77.682,,0.9,
United Kingdom,1967,17.354,16018.0,77.541,,0.9,
United Kingdom,1968,16.95,16593.0,77.4,,0.9,
United Kingdom,1969,16.499,16820.0,77.259,,0.9,
United Kingdom,1970,16.102,17162.0,77.117,,0.9,
United Kingdom,1971,15.69,17440.0,77.03,,1.0,
United Kingdom,1972,14.726,18002.0,77.195,,1.0,
United Kingdom,1973,13.842,19168.0,77.358,,1.1,
United Kingdom,1974,13.088,18903.0,77.521,,1.1,
United Kingdom,1975,12.39,18884.0,77.683,,1.1,
United Kingdom,1976,11.977,19311.0,77.844,,1.2,
United Kingdom,1977,11.711,19740.0,78.005,,1.2,
United Kingdom,1978,12.225,20448.0,78.164,,1.2,
United Kingdom,1979,13.023,20988.0,78.323,,1.3,
United Kingdom,1980,13.325,20612.0,78.481,,,
United Kingdom,1981,12.93,20319.0,78.588,,,
United Kingdom,1982,12.771,20650.0,78.539,,,
United Kingdom,1983,12.79,21366.0,78.489,,,
United Kingdom,1984,12.896,21869.0,78.44,,,
United Kingdom,1985,13.198,22579.0,78.39,,,
United Kingdom,1986,13.285,23498.0,78.34,,,
United Kingdom,1987,13.589,24536.0,78.29,,,
United Kingdom,1988,13.723,25679.0,78.24,,,
United Kingdom,1989,13.641,26164.0,78.19,,,
United Kingdom,1990,13.902,26189.0,78.14,,1.618,0.804
United Kingdom,1991,13.797,25792.014,78.112,52.324,1.633,0.809
United Kingdom,1992,13.566,25790.186,78.172,52.472,1.646,0.815
United Kingdom,1993,13.173,26349.342,78.232,52.549,1.684,0.819
United Kingdom,1994,12.929,27277.543,78.293,52.589,1.698,0.827
United Kingdom,1995,12.619,27861.215,78.353,52.551,1.757,0.83
United Kingdom,1996,12.587,28472.248,78.413,52.997,1.798,0.836
United Kingdom,1997,12.467,29259.764,78.472,53.4,1.855,0.843
United Kingdom,1998,12.268,30077.385,78.532,53.429,1.899,0.848
United Kingdom,1999,11.962,30932.537,78.591,53.786,1.913,0.855
United Kingdom,2000,11.592,31946.037,78.651,54.197,1.994,0.863
United Kingdom,2001,11.386,32660.441,78.751,54.09,2.043,0.869
United Kingdom,2002,11.368,33271.3,79.047,54.651,2.114,0.874
United Kingdom,2003,11.73,34232.426,79.339,54.559,2.201,0.879
United Kingdom,2004,11.985,34865.78,79.629,54.934,2.331,0.889
United Kingdom,2005,12.034,35623.625,79.915,55.398,2.408,0.895
United Kingdom,2006,12.357,36214.07,80.199,55.904,2.46,0.894
United Kingdom,2007,12.653,36816.676,80.479,55.684,2.492,0.897
United Kingdom,2008,12.891,36264.79,80.757,55.966,2.571,0.902
United Kingdom,2009,12.764,34402.36,81.031,56.148,2.653,0.907
United Kingdom,2010,12.888,34754.473,81.302,56.064,2.656,0.913
United Kingdom,2011,12.828,34971.0,81.57,56.202,2.691,0.909
United Kingdom,2012,12.779,35243.64,81.837,56.41,2.697,0.91
United Kingdom,2013,12.197,35660.56,82.102,56.759,2.706,0.923
United Kingdom,2014,12.018,36521.86,82.365,57.015,2.742,0.924
United Kingdom,2015,11.918,37101.227,82.626,57.198,2.773,0.923
United Kingdom,2016,11.777,37593.906,82.886,57.495,2.783,0.926
United Kingdom,2017,11.411,38283.938,83.143,57.794,2.814,0.929
United Kingdom,2018,10.982,38704.6,83.398,58.034,2.834,0.928
United Kingdom,2019,10.645,39113.01,83.652,58.456,2.942,0.933
United Kingdom,2020,10.204,34651.184,83.903,58.607,3.041,0.92
United Kingdom,2021,10.241,37134.33,84.152,58.347,3.171,0.931
United Kingdom,2022,10.1,38406.53,84.398,58.134,,0.94
United Kingdom,2023,10.023,,,,,
United States,1950,23.981,15240.0,,,,
United States,1951,24.352,16125.0,,,,
United States,1952,24.561,16444.0,,,,
United States,1953,24.539,16917.0,,,,
United States,1954,24.87,16512.0,,,,
United States,1955,24.638,17370.0,,,,
United States,1956,24.905,17397.0,,,,
United States,1957,24.991,17406.0,,,,
United States,1958,24.944,16946.0,,,,
United States,1959,24.552,17900.0,,,,
United States,1960,24.246,18057.0,69.996,,1.1,
United States,1961,23.866,18175.0,70.377,,,
United States,1962,22.86,18976.0,70.757,,,
United States,1963,22.049,19514.0,71.134,,,
United States,1964,21.397,20360.0,71.508,,,
United States,1965,19.908,21390.0,71.879,,1.2,
United States,1966,18.896,22529.0,72.247,,,
United States,1967,18.162,22842.0,72.612,,,
United States,1968,17.878,23691.0,72.974,,,
United States,1969,18.258,24195.0,73.333,,,
United States,1970,18.74,23958.0,73.602,,1.2,
United States,1971,17.67,24394.0,73.613,,,
United States,1972,16.057,25414.0,73.623,,,
United States,1973,15.357,26602.0,73.633,,,
United States,1974,15.304,26286.0,73.643,,,
United States,1975,15.102,25956.0,73.653,,1.3,
United States,1976,15.081,27058.0,73.663,,1.3,
United States,1977,15.631,28001.0,73.673,,1.3,
United States,1978,15.6,29286.0,73.682,,1.4,
United States,1979,16.059,29949.0,73.692,,1.4,
United States,1980,16.293,29611.0,73.738,,1.5,
United States,1981,16.192,30056.0,73.89,,1.5,
United States,1982,16.227,29210.0,74.042,,1.6,
United States,1983,15.904,30158.0,74.194,,1.6,
United States,1984,15.8,32076.0,74.344,,,
United States,1985,15.905,33023.0,74.494,,,
United States,1986,15.723,33850.0,74.644,,1.7,
United States,1987,15.801,34730.0,74.793,,1.8,
United States,1988,16.039,35863.0,74.942,,1.8,
United States,1989,16.346,36756.0,75.089,,1.8,
United States,1990,16.466,36982.0,75.3,,1.8,0.875
United States,1991,16.043,36463.957,75.701,55.834,1.9,0.875
United States,1992,15.602,37240.3,76.097,56.266,1.9,0.88
United States,1993,15.116,37761.535,76.488,56.407,1.9,0.882
United States,1994,14.713,38807.28,76.875,57.369,,0.885
United States,1995,14.336,39390.625,77.257,57.607,2.434,0.886
United States,1996,14.119,40412.75,77.636,57.922,,0.887
United States,1997,13.922,41722.67,78.008,58.518,,0.889
United States,1998,13.942,43072.758,78.377,58.532,,0.891
United States,1999,13.892,44575.848,78.742,58.717,,0.891
United States,2000,14.056,45886.47,79.057,58.857,2.588,0.894
United States,2001,13.826,45878.008,79.234,58.681,,0.895
United States,2002,13.671,46266.297,79.409,58.486,,0.896
United States,2003,13.74,47157.996,79.583,58.351,,0.898
United States,2004,13.712,48492.72,79.757,58.082,2.7,0.902
United States,2005,13.714,49654.76,79.928,58.195,,0.904
United States,2006,13.991,50489.86,80.099,58.302,,0.908
United States,2007,14.023,50901.746,80.269,58.225,,0.911
United States,2008,13.719,50275.746,80.438,58.434,,0.912
United States,2009,13.275,48452.934,80.606,58.174,,0.913
United States,2010,12.791,49266.914,80.772,57.604,,0.916
United States,2011,12.552,49675.0,80.944,57.053,,0.918
United States,2012,12.433,50436.434,81.119,56.799,,0.92
United States,2013,12.28,51010.797,81.299,56.364,,0.922
United States,2014,12.331,51796.62,81.483,56.215,,0.923
United States,2015,12.211,52808.152,81.671,56.002,,0.924
United States,2016,12.008,53301.016,81.862,56.135,,0.926
United States,2017,11.657,54152.363,82.058,56.406,,0.928
United States,2018,11.389,55454.668,82.256,56.497,2.57,0.93
United States,2019,11.169,56469.26,82.459,56.885,3.518,0.933
United States,2020,10.73,54379.207,82.664,55.7,3.555,0.923
United States,2021,10.822,57522.703,82.873,55.588,,0.921
United States,2022,10.981,58487.465,83.084,55.977,,0.927
United States,2023,10.648,,,,,
